Ids,Labels,token,year,month,date,hour
2e69e9384_2020-10-06_13,True,2e69e9384,2020,10,06,13
2e6992c7c_2020-10-02_17,True,2e6992c7c,2020,10,02,17
2e69ef474_2020-09-13_19,True,2e69ef474,2020,09,13,19
2e69c5fd4_2020-10-10_15,True,2e69c5fd4,2020,10,10,15
2e6992134_2020-09-12_11,True,2e6992134,2020,09,12,11
2e6993b6c_2020-10-26_17,True,2e6993b6c,2020,10,26,17
2e69ebe3c_2020-11-19_8,True,2e69ebe3c,2020,11,19,8
2e698e484_2020-09-25_10,True,2e698e484,2020,09,25,10
2e69ecabc_2020-10-29_14,True,2e69ecabc,2020,10,29,14
2e68e6f1c_2020-10-30_11,True,2e68e6f1c,2020,10,30,11
2e69e8eac_2020-10-31_10,True,2e69e8eac,2020,10,31,10
2e68e7d0c_2020-10-14_17,True,2e68e7d0c,2020,10,14,17
2e69922cc_2020-09-25_0,True,2e69922cc,2020,09,25,0
2e68e894c_2020-10-31_11,False,2e68e894c,2020,10,31,11
2e699ac84_2020-10-06_8,False,2e699ac84,2020,10,06,8
2e68e8a34_2020-09-09_9,False,2e68e8a34,2020,09,09,9
2e68e1494_2020-10-28_12,True,2e68e1494,2020,10,28,12
2e698cff4_2020-09-23_18,True,2e698cff4,2020,09,23,18
2e69e8e04_2020-10-27_11,False,2e69e8e04,2020,10,27,11
2e69c419c_2020-10-11_16,True,2e69c419c,2020,10,11,16
2e698c844_2020-10-05_9,True,2e698c844,2020,10,05,9
2e68e67cc_2020-10-30_13,True,2e68e67cc,2020,10,30,13
2e68e81dc_2020-10-25_19,True,2e68e81dc,2020,10,25,19
2e698fe54_2020-10-05_14,False,2e698fe54,2020,10,05,14
2e699287c_2020-11-13_14,True,2e699287c,2020,11,13,14
2e698c71c_2020-09-23_7,False,2e698c71c,2020,09,23,7
2e6984e4c_2020-10-25_17,True,2e6984e4c,2020,10,25,17
2e69e87cc_2020-10-03_18,False,2e69e87cc,2020,10,03,18
2e698c6b4_2020-11-08_13,True,2e698c6b4,2020,11,08,13
2e68e6664_2020-10-30_19,True,2e68e6664,2020,10,30,19
2e69ec764_2020-11-07_19,False,2e69ec764,2020,11,07,19
2e68e86d4_2020-11-20_15,True,2e68e86d4,2020,11,20,15
2e69e8e8c_2020-11-21_15,True,2e69e8e8c,2020,11,21,15
2e69e8e84_2020-09-06_16,True,2e69e8e84,2020,09,06,16
2e68e639c_2020-10-16_2,False,2e68e639c,2020,10,16,2
2e699a10c_2020-09-23_18,True,2e699a10c,2020,09,23,18
2e69c4354_2020-09-05_14,False,2e69c4354,2020,09,05,14
2e6992a8c_2020-09-27_16,False,2e6992a8c,2020,09,27,16
2e69c5c7c_2020-10-21_11,True,2e69c5c7c,2020,10,21,11
2e69910f4_2020-11-17_11,True,2e69910f4,2020,11,17,11
2e699212c_2020-11-18_7,True,2e699212c,2020,11,18,7
2e68e8994_2020-10-26_10,False,2e68e8994,2020,10,26,10
2e69e8874_2020-10-19_9,False,2e69e8874,2020,10,19,9
2e69e9384_2020-11-01_12,False,2e69e9384,2020,11,01,12
2e69e920c_2020-09-08_17,True,2e69e920c,2020,09,08,17
2e69c5e6c_2020-11-08_14,True,2e69c5e6c,2020,11,08,14
2e69e920c_2020-10-09_11,False,2e69e920c,2020,10,09,11
2e698b97c_2020-10-05_7,True,2e698b97c,2020,10,05,7
2e698ea5c_2020-10-08_11,True,2e698ea5c,2020,10,08,11
2e69c5eec_2020-10-10_18,False,2e69c5eec,2020,10,10,18
2e69e9244_2020-10-03_10,True,2e69e9244,2020,10,03,10
2e68e67dc_2020-09-10_16,True,2e68e67dc,2020,09,10,16
2e69eef94_2020-11-08_15,True,2e69eef94,2020,11,08,15
2e6993b74_2020-09-11_9,True,2e6993b74,2020,09,11,9
2e68e877c_2020-10-23_16,False,2e68e877c,2020,10,23,16
2e69c8bb4_2020-11-08_14,True,2e69c8bb4,2020,11,08,14
2e69eeb0c_2020-10-04_11,True,2e69eeb0c,2020,10,04,11
2e68e6e04_2020-10-31_15,True,2e68e6e04,2020,10,31,15
2e6994aa4_2020-09-26_11,False,2e6994aa4,2020,09,26,11
2e68e89a4_2020-09-30_21,False,2e68e89a4,2020,09,30,21
2e68e64fc_2020-10-25_12,True,2e68e64fc,2020,10,25,12
2e68e6e1c_2020-10-30_19,True,2e68e6e1c,2020,10,30,19
2e68e135c_2020-09-27_15,True,2e68e135c,2020,09,27,15
2e69851d4_2020-10-04_12,True,2e69851d4,2020,10,04,12
2e698f05c_2020-10-11_15,True,2e698f05c,2020,10,11,15
2e68e8c7c_2020-10-30_18,True,2e68e8c7c,2020,10,30,18
2e68e6254_2020-09-09_17,False,2e68e6254,2020,09,09,17
2e68e7c4c_2020-10-07_16,True,2e68e7c4c,2020,10,07,16
2e698cff4_2020-11-12_17,True,2e698cff4,2020,11,12,17
2e68e5d34_2020-10-30_18,True,2e68e5d34,2020,10,30,18
2e698a4dc_2020-10-09_17,True,2e698a4dc,2020,10,09,17
2e69e8b64_2020-11-06_20,True,2e69e8b64,2020,11,06,20
2e69eeebc_2020-11-07_17,True,2e69eeebc,2020,11,07,17
2e69e9274_2020-09-30_12,False,2e69e9274,2020,09,30,12
2e698c334_2020-10-09_14,True,2e698c334,2020,10,09,14
2e69c5d7c_2020-10-16_20,False,2e69c5d7c,2020,10,16,20
2e69e8844_2020-11-10_14,True,2e69e8844,2020,11,10,14
2e69ec7e4_2020-09-01_18,True,2e69ec7e4,2020,09,01,18
2e68e622c_2020-10-24_11,True,2e68e622c,2020,10,24,11
2e698c14c_2020-11-12_19,False,2e698c14c,2020,11,12,19
2e68e62f4_2020-10-07_21,False,2e68e62f4,2020,10,07,21
2e69eac3c_2020-10-28_18,False,2e69eac3c,2020,10,28,18
2e6992cfc_2020-11-16_19,True,2e6992cfc,2020,11,16,19
2e69e8e7c_2020-09-18_16,True,2e69e8e7c,2020,09,18,16
2e68e8c34_2020-11-14_20,True,2e68e8c34,2020,11,14,20
2e68e643c_2020-10-29_19,True,2e68e643c,2020,10,29,19
2e699288c_2020-11-04_9,True,2e699288c,2020,11,04,9
